service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RDEC16-801-1_Weekday-14,1,1,1,1,1,0,0,20160713,20160713
RDEC16-801-1_Weekday-15,1,1,1,1,1,0,0,20160714,20160714
RDEC16-801-1_Weekday-52,1,1,1,1,1,0,0,20160715,20160715
RDEC16-801-2_Saturday-90,0,0,0,0,0,1,0,20160716,20160723
RDEC16-801-3_Sunday-90,0,0,0,0,0,0,1,20160717,20160724
RDEC16-801-1_Weekday-90,1,1,1,1,1,0,0,20160718,20160727
RDEC16-801-1_Weekday-91,1,1,1,1,1,0,0,20160722,20160722
RDEC16-804-1_Weekday-03,1,1,1,1,1,0,0,20160713,20160714
RJUN16-804-1_Weekday-96,1,1,1,1,1,0,0,20160715,20160722
RJUN16-804-2_Saturday-95,0,0,0,0,0,1,0,20160716,20160723
RJUN16-804-3_Sunday-95,0,0,0,0,0,0,1,20160717,20160724
RJUN16-804-1_Weekday-95,1,1,1,1,1,0,0,20160718,20160727
RJUN16-803-1_Weekday-14,1,1,1,1,1,0,0,20160713,20160713
RJUN16-803-1_Weekday-15,1,1,1,1,1,0,0,20160714,20160714
RJUN16-803-1_Weekday-16,1,1,1,1,1,0,0,20160715,20160715
RJUN16-803-2_Saturday-10,0,0,0,0,0,1,0,20160716,20160716
RJUN16-803-3_Sunday-90,0,0,0,0,0,0,1,20160717,20160724
RJUN16-803-1_Weekday-90,1,1,1,1,1,0,0,20160718,20160727
RJUN16-803-1_Weekday-91,1,1,1,1,1,0,0,20160722,20160722
RJUN16-803-2_Saturday-90,0,0,0,0,0,1,0,20160723,20160723
RJUN16-802CAR-1_Weekday-15,1,1,1,1,1,0,0,20160713,20160714
RJUN16-802CAR-1_Weekday-22,1,1,1,1,1,0,0,20160715,20160715
RJUN16-802CAR-2_Saturday-10,0,0,0,0,0,1,0,20160716,20160716
RJUN16-802CAR-3_Sunday-90,0,0,0,0,0,0,1,20160717,20160724
RJUN16-802CAR-1_Weekday-90,1,1,1,1,1,0,0,20160718,20160727
RJUN16-802CAR-1_Weekday-91,1,1,1,1,1,0,0,20160722,20160722
RJUN16-802CAR-2_Saturday-90,0,0,0,0,0,1,0,20160723,20160723
